pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,label
-2021.98510483941,-611.4280007297887,-68.95093782369396,-595.9752345055305,48.48728896069269,-135.2419023787526,0
9027.503426414956,-641.3282730900032,-124.89008725581073,-387.9670758537114,-23.55842655222913,-384.27078872306936,0
15600.778823714665,-1635.9913050961802,-122.62256706304017,183.3132879156911,-31.72380537364538,373.98079165976145,1
-14214.639133785671,-347.3700249933392,1209.8266632799205,2218.947948773018,2071.688989931478,117.19432491604124,1
-9027.252020861153,-490.2009876594689,-184.75490099133998,-593.7171671760254,-16.224828905859976,-66.34434666853868,1
6949.989907465629,-588.7847292469139,-158.602966760173,1200.6382736655219,-11.452721080933191,-313.4428973416325,1
3583.4706494922866,-1096.6080803944142,-33.01181182830105,900.6822206168529,-37.14315282508566,215.8835357319175,1
7600.628566681336,2483.7787185178368,-148.90685879851947,-303.2099794128153,26.863332450600833,-144.7065084749373,1
17302.15826445597,-1763.162946019742,-167.50387230789045,242.7246219957619,-49.418672428604665,445.5661748354847,0
318.13025455773374,-1135.3491456904796,-196.92671443448387,587.5876298749073,-75.95432400885431,315.4963896511249,1
-985.4757322387502,5516.4717432865145,-312.6227292772071,461.8488177480147,-29.325859197908528,377.0455948503301,0
2223.890574977688,-1315.2306364585847,-158.3064042582451,-665.3560623008021,-29.29407139359994,378.1406805988411,1
12393.24729316166,-1069.6816793106088,-152.39344679083672,-153.23890635095145,-35.06597212936879,-70.97426809046266,1
-2012.9454711599078,5879.38289223914,-278.63597021370475,409.2661454955363,-34.834859424591755,463.6735356024704,1
-9580.737618735286,-430.04223202611706,-182.88359583942304,262.195330766262,-23.212375225202546,-73.49905460125865,1
-14230.299784022447,-317.57076708833887,2129.2480930047072,261.18442641779393,110.0616844274874,-3.2310895991061144,1
794.60006022177,4875.492031657649,-119.06857828609954,-727.6359103720247,43.147337447796566,504.4750007711977,0
8786.083354171731,-672.0158316917199,-105.09112900211244,-227.6673193895424,3.9739010071079512,-338.2816868023499,1
-1540.5999730164767,-629.1746664303939,-80.441338074277,-576.5993915564603,19.321735824991425,-131.44020009157012,0
7991.209379957033,-675.942000586124,-82.15597021128862,-420.39095194559,18.552533811324658,-326.754188795028,1
623.4324492188382,4931.855691848152,-258.57799180454373,-309.0902371258203,-26.947497315436348,480.3967193372605,0
7193.6704677177695,2645.8684125889267,-253.5467907581071,-463.00425704884617,-2.9469539749997313,-293.3982840478871,0
501.27251185539205,-1137.1920287401556,-158.90919877873367,-753.6550685062648,-18.11422549166251,261.89060880860916,1
2765.608493190205,-1065.8497673452396,-59.40141782843223,-636.9225442224166,15.454353672823673,145.16010686900086,1
-1569.8569377633494,-628.0875543124731,-136.73739696093756,-367.9435142578059,-18.56865425296826,-119.87960299061957,0
-12819.849251169138,-555.357425619593,-174.43372031856222,2226.7405107403706,-43.72502398175899,196.20109071348924,1
-712.8368789005491,-799.3953021338572,-190.22449557022597,-664.968500475939,-58.55765190526972,-8.936269378071962,1
3447.521571313517,-1039.0552744182653,-26.668312354183637,-603.1117881007929,17.951248989194127,106.29919856441825,1
10923.960125841262,1294.3329394576585,-195.8370706577772,-116.34433737066814,-41.970604912215826,-273.87238212980145,0
1271.9298785733263,-1081.3066579885474,-121.4804050136493,-730.3370749120871,-15.042307555148406,194.24863032633806,1
15419.625760190667,-1590.2152946645404,-179.8967447603127,-105.00312941392335,-79.6992973592883,317.80500787325013,1
-8342.636667404762,-428.588537746193,999.9120395670908,-753.0863233183474,513.0084103392779,-113.87119533428654,1
6244.928334515258,3026.8578809502123,-107.30833764206503,-513.6751015542659,22.29465127403923,-605.5591957735958,0
-707.8689404945386,-800.1716355396858,-174.38150107624392,-348.8116875570559,-16.69845027155251,12.7305156698858,1
-1255.7403530930455,5639.390037157711,-181.6746443810296,-239.31559784324875,-2.462833557725423,256.68943764238537,1
12088.091681489113,-1038.8515490494067,-91.6246226310271,-40.49203780568143,-22.410169178359983,-83.42042229499135,1
16854.17174005787,-1774.3827684035125,-102.29974327036169,34.97575471667026,-36.0473494672364,455.8889763673042,1
-13510.177186342327,-420.406048666505,944.4128373444198,-718.6223775826838,75.49223881166363,-1.5493778105875138,1
6727.993980925559,-533.6860019391698,-4.909533837134134,-449.2310680770167,524.2417658349243,-411.9581540581278,1
-8862.72799913086,-477.5829914371409,-158.65023684162153,-769.4917267982355,-12.490674611199625,-92.64929736529166,1
6651.573943916124,2863.1515235593265,-100.51406331808404,-342.75526481206674,12.9701763867818,-462.1657080897834,0
6641.30104418553,2842.733322206363,-199.72273098625982,1093.7869378114171,-23.288916533749664,-390.27103339663245,0
